time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001130,0.1304,-0.1903,0.2869,0.368
0.003937,0.1037,-0.1271,0.3079,0.349
0.011451,0.1205,-0.0615,0.3170,0.345
0.019429,0.1038,-0.0394,0.2901,0.311
0.027342,0.0643,-0.0686,0.2993,0.314
0.035541,0.0043,-0.0376,0.3326,0.335
0.043728,0.0011,-0.0392,0.3780,0.380
0.051489,0.0023,-0.0508,0.4284,0.431
0.059551,0.0129,-0.0308,0.4168,0.418
0.067566,0.0277,0.0030,0.3480,0.349
0.075945,0.0404,0.0612,0.2052,0.218
0.083564,0.0798,0.0392,-0.0213,0.091
0.092133,0.0583,0.0018,-0.2310,0.238
0.099593,0.0217,-0.0143,-0.4381,0.439
0.107441,-0.0277,-0.0074,-0.5712,0.572
0.115314,-0.0744,0.0427,-0.6399,0.646
0.123416,-0.0879,0.0750,-0.5510,0.563
0.131450,-0.0592,0.0296,-0.3451,0.351
0.139462,-0.0493,-0.0505,-0.2257,0.237
0.147392,-0.0146,-0.0453,-0.0898,0.102
0.155975,0.0555,-0.0204,0.0293,0.066
0.163409,0.1586,0.0115,0.1221,0.200
0.173448,0.1828,0.0073,0.1958,0.268
0.179490,0.1911,0.0215,0.2911,0.349
0.187477,0.1331,-0.0130,0.2931,0.322
0.196400,0.0446,-0.0415,0.2881,0.294
0.204122,-0.0381,-0.0110,0.2592,0.262
0.212161,-0.0839,-0.0413,0.2567,0.273
0.220171,-0.0932,-0.0575,0.2614,0.283
0.228113,-0.1524,-0.0592,0.1967,0.256
0.235972,-0.1204,-0.0602,0.1942,0.236
0.244279,-0.1218,-0.0605,0.2778,0.309
0.252473,-0.0963,-0.0532,0.4020,0.417
0.260383,-0.0729,-0.0530,0.4281,0.438
0.268356,-0.0680,-0.0466,0.5166,0.523
0.276593,-0.0818,-0.0387,0.5764,0.583
0.284275,-0.0982,-0.0115,0.5526,0.561
0.292554,-0.1013,-0.0168,0.5098,0.520
0.300695,-0.0911,-0.0140,0.4288,0.439
0.308582,-0.0478,-0.0099,0.3790,0.382
0.316376,0.0197,-0.0380,0.2241,0.228
0.324473,0.0977,-0.0644,0.1194,0.167
0.332695,0.1522,-0.0885,0.0483,0.183
0.340677,0.1641,-0.0689,0.0275,0.180
0.348652,0.1303,-0.0197,-0.0150,0.133
0.356566,0.1100,-0.0127,0.0022,0.111
0.364638,0.0701,-0.0220,0.0745,0.105
0.373280,0.0413,-0.0404,0.1372,0.149
0.380626,0.0343,-0.0470,0.1400,0.152
0.393274,0.0261,0.0032,0.1094,0.112
0.401505,0.0373,0.0164,0.0836,0.093
0.407011,0.0248,0.0313,0.0197,0.045
0.412943,0.0371,0.0579,-0.0227,0.072
0.421553,0.0715,0.0560,-0.0699,0.115
0.429081,0.0953,0.0208,-0.1338,0.166
0.436609,0.0677,0.0050,-0.1427,0.158
0.444641,0.0480,-0.0433,-0.1565,0.169
0.453153,-0.0003,-0.0236,-0.1178,0.120
0.460715,0.0185,-0.0098,-0.1127,0.115
0.468791,-0.0087,-0.0156,-0.0814,0.083
0.476884,-0.0053,0.0039,0.0071,0.010
0.484835,-0.0221,0.0009,0.1362,0.138
0.493997,0.0082,0.0342,0.2270,0.230
0.501136,0.0211,0.0241,0.2363,0.238
0.509324,-0.0280,0.0245,0.2339,0.237
0.517414,-0.0069,0.0475,0.1789,0.185
0.524732,0.0235,0.0330,0.0763,0.086
0.532934,0.0417,0.0780,-0.0001,0.089
0.540935,0.0403,0.0872,-0.1482,0.177
0.548939,0.0296,0.0751,-0.2509,0.264
0.557334,0.0360,0.0473,-0.3872,0.392
0.564950,0.0186,0.0329,-0.4351,0.437
0.573001,-0.0082,0.0157,-0.4353,0.436
0.580912,-0.0904,0.1023,-0.3209,0.349
0.592708,-0.0898,0.1976,-0.2115,0.303
0.601791,-0.0581,0.2324,-0.1215,0.269
0.608075,0.0133,0.2574,-0.1678,0.308
0.613142,0.1504,0.2200,-0.2908,0.394
0.622558,0.3492,0.1897,-0.3922,0.558
0.629122,0.5044,0.1929,-0.3954,0.669
0.640240,0.4968,0.1920,-0.4873,0.722
0.645135,0.4342,-0.0409,-0.6823,0.810
0.653343,0.2109,0.3855,-0.7915,0.905
0.661525,0.1856,0.5556,-0.2855,0.652
0.669292,-0.0171,0.4643,-0.0765,0.471
0.677441,-0.0804,0.2913,-0.1190,0.325
0.685216,-0.0382,0.1636,0.0868,0.189
0.693635,-0.0540,0.2067,0.4411,0.490
0.701291,-0.1517,0.2341,0.7153,0.768
0.709400,-0.2687,0.3072,0.7886,0.888
0.717376,-0.3543,0.2964,0.8906,1.003
0.725348,-0.3092,0.2306,1.0192,1.090
0.733485,-0.1931,0.1818,1.0114,1.046
0.741562,-0.1034,0.1170,0.8484,0.863
0.749622,0.0254,0.1473,0.6448,0.662
0.757436,0.1902,0.1420,0.4654,0.522
0.765509,0.3186,0.0841,0.2814,0.433
0.773708,0.3560,-0.0328,0.1669,0.395
0.781499,0.2933,-0.1259,0.1099,0.338
0.792053,0.1540,-0.1700,0.0696,0.240
0.798404,0.0161,-0.1621,0.1107,0.197
0.811274,-0.0640,-0.1478,0.0917,0.185
0.814375,-0.0540,-0.0703,0.0081,0.089
0.823077,0.0030,-0.0496,-0.0517,0.072
0.829982,0.1429,-0.0348,-0.2025,0.250
0.839258,0.2637,-0.0620,-0.3391,0.434
0.845825,0.3417,-0.1281,-0.4638,0.590
0.856439,0.5068,-0.1843,-0.5433,0.765
0.861788,0.5988,-0.2275,-0.6997,0.949
0.869899,0.5793,-0.2373,-0.8349,1.044
0.877926,0.5652,-0.2000,-0.9177,1.096
0.886001,0.5679,-0.1514,-0.9528,1.119
0.896515,0.5282,-0.1521,-0.7605,0.938
0.902043,0.3155,-0.1391,-0.5013,0.608
0.910235,-0.0103,-0.0804,-0.2084,0.224
0.918074,-0.2996,0.0132,0.0629,0.306
0.926098,-0.6207,0.1014,0.4350,0.765
0.934224,-0.8038,0.1572,0.8335,1.169
0.942241,-0.8452,0.2012,1.1318,1.427
0.950244,-0.7742,0.2126,1.2869,1.517
0.958185,-0.7271,0.2351,1.1528,1.383
