time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.049489,0.7000,0.0224,-1.5156,1.67
0.067494,0.5958,0.2030,-0.9251,1.12
0.080481,0.1715,0.0382,-0.3838,0.42
0.089567,-0.0681,0.0473,-0.1200,0.15
0.110763,-0.2130,0.0343,0.0524,0.22
0.145322,-0.0958,-0.0581,0.2123,0.24
0.166927,0.1290,-0.0488,0.1792,0.23
0.167366,0.1285,-0.0387,0.4403,0.46
0.183859,0.1403,-0.0858,0.9446,0.96
0.197161,0.1367,-0.1349,0.9014,0.92
0.197475,0.0962,-0.1171,0.7559,0.77
0.210373,0.0511,-0.1123,0.5681,0.58
0.218688,0.0622,-0.1207,0.3474,0.37
0.235381,-0.0040,-0.0980,0.2279,0.25
0.238154,-0.1742,-0.1298,0.0968,0.24
0.252358,-0.2988,-0.1816,-0.1748,0.39
0.258335,-0.3091,-0.1268,-0.3861,0.51
0.269467,-0.1571,-0.0840,-0.4536,0.49
0.286619,0.0231,-0.0693,-0.4709,0.48
0.288687,0.2692,-0.0729,-0.4525,0.53
0.302472,0.5029,-0.0764,-0.3889,0.64
0.308695,0.6727,-0.0548,-0.2824,0.73
0.318355,0.6885,-0.0209,-0.2503,0.73
0.333643,0.4663,-0.0330,-0.3903,0.61
0.338537,0.1703,-0.0704,-0.5180,0.55
0.351214,-0.0224,-0.0913,-0.6241,0.63
0.359303,-0.0683,-0.0939,-0.6273,0.64
0.369909,0.0115,-0.0480,-0.6640,0.67
0.387958,0.0833,0.0429,-0.8059,0.81
0.388384,0.1259,0.0925,-0.9429,0.96
0.403164,0.2126,0.0494,-0.8075,0.84
0.409813,0.3890,-0.0053,-0.4576,0.60
0.419623,0.5988,0.0034,-0.0967,0.61
0.435605,0.6567,0.0095,0.0962,0.66
0.439537,0.6547,0.0180,0.1050,0.66
0.453517,0.6221,0.0073,-0.0772,0.63
0.461216,0.6068,-0.0133,-0.2587,0.66
0.471028,0.5587,-0.0253,-0.3800,0.68
0.487175,0.4343,0.0737,-0.5249,0.69
0.490366,0.2635,0.1292,-0.6074,0.67
0.502680,0.0494,0.0750,-0.5800,0.59
0.510560,-0.0887,-0.0498,-0.5744,0.58
0.520238,-0.1240,-0.2195,-0.6293,0.68
0.535797,-0.1112,-0.3593,-0.7117,0.80
0.540413,-0.0484,-0.4230,-0.7459,0.86
0.552795,0.1601,-0.4043,-0.5726,0.72
0.560714,0.4848,-0.3155,-0.2467,0.63
0.571323,0.7492,-0.2214,0.2246,0.81
0.586126,0.9167,-0.1333,0.6883,1.15
0.590808,0.8827,-0.1117,0.9256,1.28
0.609923,0.7299,-0.1394,0.9355,1.19
0.610405,0.5290,-0.1529,0.8890,1.05
0.623239,0.3021,-0.1167,0.6926,0.76
0.637403,0.1200,-0.0994,0.3538,0.39
0.641396,0.0412,-0.1067,0.2118,0.24
0.650981,0.0928,-0.0603,0.1754,0.21
0.661172,0.1877,0.0354,0.1774,0.26
0.671484,0.2184,0.1655,0.1650,0.32
0.686512,0.2067,0.2941,0.0916,0.37
0.691493,0.1663,0.3652,-0.0159,0.40
0.702837,0.0185,0.3725,-0.0603,0.38
0.711619,-0.0810,0.3554,-0.0687,0.37
0.721603,-0.1911,0.3757,-0.2300,0.48
0.736172,-0.3149,0.4080,-0.4051,0.66
0.741734,-0.4080,0.4182,-0.4454,0.73
0.753568,-0.4165,0.4215,-0.3624,0.69
0.761651,-0.4368,0.3219,-0.1419,0.56
0.772294,-0.3905,0.1388,0.1881,0.46
0.786214,-0.2171,0.0224,0.5997,0.64
0.792258,-0.0498,0.0083,0.9031,0.90
0.803768,0.0743,0.0018,1.0132,1.02
0.819998,0.1388,-0.0260,1.0752,1.08
0.822355,0.3037,-0.0591,1.1226,1.16
0.837026,0.5172,-0.0936,1.0551,1.18
0.842448,0.6117,-0.1195,0.9902,1.17
0.853982,0.5059,-0.1499,0.6412,0.83
0.862376,0.2943,-0.1703,0.1093,0.36
0.873111,0.1051,-0.1753,-0.2754,0.34
0.887626,0.0030,-0.1764,-0.5013,0.53
0.893160,-0.0594,-0.1804,-0.5759,0.61
0.904589,-0.0376,-0.1759,-0.5906,0.62
0.920953,0.0258,-0.1300,-0.7079,0.72
0.923518,0.0736,-0.0898,-0.9922,1.00
0.937447,0.1260,-0.0465,-1.2424,1.25
0.943465,0.1834,-0.0444,-1.3703,1.38
0.954325,0.3324,0.0432,-1.3929,1.43
0.970321,0.4635,0.1914,-1.3343,1.43
0.973985,0.4473,0.2524,-1.3670,1.46
0.987263,0.3211,0.2181,-1.3902,1.44
0.994245,0.2016,0.1673,-1.2798,1.31
1.003994,0.0374,0.1464,-1.1482,1.16
1.019742,-0.2120,0.1381,-1.1963,1.22
1.024524,-0.4335,0.0935,-1.2969,1.37
1.037231,-0.4833,0.0651,-1.1248,1.23
1.044390,-0.5174,0.0874,-0.9314,1.07
1.054144,-0.5915,0.1143,-0.5568,0.82
1.072901,-0.6977,0.0518,-0.1182,0.71
1.074799,-0.7680,-0.0233,0.2910,0.82
1.087427,-0.6171,-0.0792,0.6156,0.88
1.095199,-0.3084,0.0480,0.8151,0.87
1.105174,0.0387,0.1543,0.7151,0.73
1.121063,0.3232,0.1731,0.3834,0.53
1.125204,0.5047,0.0731,0.1026,0.52
1.137129,0.6143,-0.0353,-0.0053,0.62
1.145105,0.6110,-0.0518,-0.1058,0.62
1.154900,0.5964,-0.0984,-0.2299,0.65
1.169791,0.7323,-0.0498,-0.3465,0.81
1.175053,0.9008,0.0206,-0.4891,1.03
1.186703,0.9662,0.0418,-0.5619,1.12
1.195497,0.9760,0.0623,-0.5962,1.15
1.205424,0.7537,0.0672,-0.8191,1.12
1.229821,0.4000,-0.0372,-1.1322,1.20
1.245394,-0.2091,-0.3266,-1.9164,1.96
1.255693,-0.1144,-0.3288,-1.7994,1.83
1.268482,0.1380,-0.3066,-1.4631,1.50
1.276381,0.5121,-0.2235,-0.9700,1.12
1.287398,0.8198,-0.0960,-0.4517,0.94
1.296071,0.9673,-0.0170,-0.0685,0.97
1.305750,1.0075,-0.0216,0.2614,1.04
1.319414,0.9925,-0.0609,0.4640,1.10
1.326333,0.7342,-0.1428,0.5371,0.92
1.336825,0.3027,-0.2227,0.4882,0.62
1.352954,-0.0272,-0.2995,0.6211,0.69
1.355944,-0.1426,-0.3142,0.9400,1.00
1.369170,-0.1577,-0.2822,0.9928,1.04
1.377545,0.0342,-0.1665,0.9211,0.94
1.387232,0.3167,0.0110,0.6991,0.77
1.405025,0.6268,0.1321,0.5277,0.83
1.407373,0.8241,0.2145,0.5576,1.02
1.420999,0.7590,0.1759,0.6018,0.98
1.427622,0.4906,-0.0182,0.6650,0.83
1.437843,0.2713,-0.1593,0.9096,0.96
1.454923,0.2262,-0.1831,1.1488,1.19
1.457870,0.2532,-0.1588,1.1459,1.18
1.472012,0.1979,-0.1320,0.9590,0.99
1.478063,0.0757,-0.1152,0.7056,0.72
1.490731,0.1056,-0.1009,0.5747,0.59
1.505419,0.2655,-0.1300,0.6282,0.69
1.508367,0.3370,-0.2282,0.7220,0.83
1.521706,0.3050,-0.3342,0.6315,0.78
1.528647,0.3893,-0.3813,0.5365,0.76
1.538693,0.6134,-0.2917,0.5349,0.86
1.553856,0.7139,-0.3012,0.3900,0.87
1.558467,0.7808,-0.4441,0.2813,0.94
1.571926,0.9844,-0.4842,0.2996,1.14
1.579041,1.1400,-0.4105,0.3418,1.26
1.589337,1.1758,-0.2312,0.4150,1.27
1.605699,1.0356,-0.1316,0.3805,1.11
1.609409,0.8532,-0.1106,0.3198,0.92
1.621596,0.7502,-0.1957,0.3430,0.85
1.628736,0.6542,-0.2971,0.1989,0.75
1.639427,0.5586,-0.3400,0.0003,0.65
1.653904,0.5254,-0.3358,-0.1451,0.64
1.659178,0.4578,-0.3334,-0.3785,0.68
1.670740,0.4381,-0.2775,-0.5587,0.76
1.679564,0.5435,-0.2761,-0.5760,0.84
1.689347,0.5913,-0.3780,-0.4403,0.83
1.704365,0.4842,-0.4657,-0.3693,0.77
1.709375,0.2579,-0.5918,-0.5349,0.84
1.721810,0.0713,-0.7082,-0.7932,1.07
1.729900,0.0938,-0.7305,-0.9003,1.16
1.739736,0.3041,-0.6687,-0.6821,1.00
1.755367,0.5836,-0.6334,-0.2568,0.90
1.759805,0.8211,-0.6139,0.1625,1.04
1.771803,0.8820,-0.6231,0.5307,1.20
1.780364,0.7402,-0.6506,0.7158,1.22
1.790520,0.4414,-0.6853,0.7000,1.07
1.804553,0.0621,-0.8119,0.2959,0.87
1.810472,-0.2644,-0.9482,-0.0968,0.99
1.829927,-0.3995,-1.0305,-0.2028,1.12
1.830392,-0.3603,-1.0204,-0.0834,1.09
1.841327,-0.1888,-0.9630,0.0832,0.98
1.854875,0.0364,-0.7924,0.1692,0.81
1.860957,0.2554,-0.6643,0.2798,0.76
1.870145,0.4461,-0.6501,0.4969,0.93
1.887076,0.5314,-0.6519,0.5810,1.02
1.893648,0.4776,-0.5973,0.5552,0.95
1.903666,0.3142,-0.5101,0.3577,0.70
1.910546,0.1319,-0.4679,0.0971,0.50
