time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.009177,-0.0195,0.1271,-0.1066,0.167
0.010418,-0.0195,0.1271,-0.1066,0.167
0.032388,0.1205,-0.0096,-0.1349,0.181
0.063850,0.0782,0.1134,-0.0623,0.151
0.080638,-0.0274,0.1083,0.0513,0.123
0.107075,-0.0755,-0.0006,0.0987,0.124
0.113469,-0.0755,-0.0006,0.0987,0.124
0.132046,-0.0015,-0.0475,0.1634,0.170
0.152462,0.0196,-0.0446,0.1407,0.149
0.190484,0.0372,0.0394,0.0457,0.071
0.197472,0.0371,0.0276,0.0207,0.051
0.214967,0.0181,-0.0557,0.0909,0.108
0.234475,0.0231,-0.1944,0.0958,0.218
0.255015,-0.0129,-0.0956,-0.0226,0.099
0.290575,0.0586,0.1166,-0.0794,0.153
0.297625,0.0803,0.0706,-0.1206,0.161
0.316226,0.0666,-0.0236,-0.1376,0.155
0.336771,0.0430,-0.0086,-0.0953,0.105
0.357594,0.0907,0.0030,-0.0340,0.097
0.389954,-0.0084,-0.0700,0.0012,0.071
0.398116,-0.0839,-0.1105,-0.0578,0.150
0.418780,-0.0747,-0.1529,-0.0401,0.175
0.439384,-0.0088,-0.1835,0.0399,0.188
0.463523,-0.0837,-0.1474,0.0904,0.192
0.490970,0.0787,0.0598,0.0396,0.107
0.500734,0.1346,0.1134,-0.0075,0.176
0.521087,0.1306,-0.0040,-0.1861,0.227
0.541676,0.1172,-0.1976,-0.1644,0.283
0.573159,-0.1064,-0.0100,0.1007,0.147
0.583076,-0.0148,0.0914,-0.1899,0.211
0.603473,0.1102,0.0561,-0.3828,0.402
0.623675,0.1841,0.1224,0.1259,0.254
0.644629,-0.0282,-0.0251,0.1804,0.184
0.686962,0.0685,0.0696,-0.2269,0.247
0.687655,0.0685,0.0696,-0.2269,0.247
0.707108,0.0753,0.2105,-0.0654,0.233
0.727162,0.0440,0.2694,-0.0585,0.279
0.747557,0.0103,0.5492,-0.1693,0.575
0.792710,-0.1289,0.2899,0.3027,0.439
0.794367,-0.1289,0.2899,0.3027,0.439
0.812352,0.1878,-0.3214,0.3300,0.497
0.831828,0.2933,-0.1612,0.0702,0.342
0.862672,-0.0833,0.7194,-0.1057,0.732
0.879168,-0.3663,0.7093,-0.1138,0.806
0.899180,-0.4233,0.2975,0.1320,0.534
0.917700,-0.1680,-0.0801,0.1476,0.238
0.932732,0.0064,-0.0962,-0.0920,0.133
0.954091,-0.3029,0.0506,-0.2730,0.411
0.980847,-0.1999,0.3613,-0.0999,0.425
0.995211,0.0018,0.5966,-0.1760,0.622
1.014709,0.3821,1.3029,-0.1406,1.365
1.034877,0.1548,1.2199,0.1939,1.245
1.055995,-0.1180,-0.4837,0.1745,0.528
1.082459,-0.9035,-2.3373,-0.2008,2.514
1.097050,-0.8528,-2.2143,0.1564,2.378
1.117024,0.0398,-1.3604,0.5249,1.459
1.137584,1.0441,-0.2752,0.4467,1.169
1.158796,1.5126,0.6707,0.1222,1.659
1.179059,1.2620,1.3066,0.0458,1.817
1.202316,0.6909,0.9567,1.1350,1.637
1.219529,0.0429,0.1433,1.6156,1.623
1.239975,-0.9174,-0.2681,1.1609,1.504
1.260405,-0.8452,-0.5926,0.2662,1.066
1.302935,-0.1764,-1.3220,0.7484,1.529
1.304489,-0.1764,-1.3220,0.7484,1.529
1.322027,-0.8413,-1.0767,0.0531,1.367
1.342104,-0.9461,-0.6064,-0.4983,1.229
1.380873,0.4275,-0.5953,-0.6758,0.997
1.393333,0.1543,-0.4019,-0.6382,0.770
1.409680,-0.3929,0.1860,0.0473,0.437
1.426291,-0.3153,0.2815,0.3697,0.562
1.443901,0.3072,-0.0797,0.3739,0.490
1.480867,0.1084,-0.7162,1.0033,1.237
1.493186,-0.1509,-0.8649,1.5423,1.775
1.509951,-1.1255,-0.4774,1.4582,1.903
1.526382,-0.9644,-0.2610,1.4993,1.802
1.545990,-0.0273,-0.6424,1.3731,1.516
1.581004,0.4446,0.1428,1.2244,1.310
1.593007,0.1758,0.5486,0.9880,1.144
1.609295,0.0809,0.7276,0.5979,0.945
1.627528,0.2009,0.6313,0.4055,0.777
1.648551,0.4479,-0.1525,0.5706,0.741
1.681552,1.7319,-0.5978,0.0449,1.833
1.693409,2.1507,-0.4115,-0.5801,2.265
1.709194,2.1796,0.2507,-0.8560,2.355
1.730192,1.3157,0.3118,0.2988,1.385
1.749895,1.3293,-0.9240,1.9693,2.549
1.780198,2.2426,-2.5253,0.5994,3.430
1.792983,2.3974,-2.1805,-0.1371,3.244
1.811103,2.2694,-0.5193,-0.8125,2.466
1.832444,1.9874,0.4688,-0.6492,2.143
1.853019,1.9247,-0.2525,-0.4636,1.996
1.881089,0.6039,-1.5891,-0.5574,1.789
1.893308,0.0254,-1.5091,-0.6733,1.653
1.914258,-0.8444,-0.4559,-1.2353,1.564
1.934625,-1.2452,0.9558,-1.6833,2.302
1.956406,-0.5991,1.5663,-1.9685,2.586
1.984375,-0.5543,2.0037,-1.3948,2.504
2.008513,-1.2205,-0.0083,0.0925,1.224
2.024339,-1.3860,-0.7378,0.1364,1.576
2.041459,-1.1376,-1.1970,0.1738,1.660
