time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.012756,0.2138,-0.0787,-0.1126,0.254
0.026268,0.1252,-0.0902,-0.0963,0.182
0.041208,-0.0833,-0.0575,-0.0355,0.107
0.058736,-0.0738,0.0978,-0.0320,0.127
0.101069,0.0266,0.0029,-0.0134,0.030
0.101693,0.0266,0.0029,-0.0134,0.030
0.119217,0.0696,-0.0192,0.0104,0.073
0.139568,0.0217,-0.0050,0.0866,0.089
0.159524,-0.0477,-0.0351,0.1062,0.122
0.201452,0.0026,-0.0043,0.0449,0.045
0.202138,0.0026,-0.0043,0.0449,0.045
0.221826,-0.0525,0.0911,-0.0392,0.112
0.241334,-0.1506,0.1864,-0.0880,0.255
0.262286,-0.0069,0.0889,-0.1427,0.168
0.301494,0.1775,-0.0971,-0.0708,0.214
0.307950,0.0458,-0.0637,-0.0129,0.080
0.323804,-0.1026,-0.0184,0.0171,0.106
0.343976,-0.2246,0.0302,0.0758,0.239
0.364525,-0.1214,0.0599,0.0544,0.146
0.400522,0.0873,0.0062,-0.0129,0.088
0.407913,0.0586,0.0070,-0.0158,0.061
0.425697,-0.0706,0.0560,-0.0693,0.114
0.457063,0.0040,0.0469,-0.1397,0.147
0.474137,0.1167,-0.0404,-0.2036,0.238
0.490470,0.2199,-0.1558,-0.0984,0.287
0.517416,-0.0218,-0.0460,0.1782,0.185
0.533425,-0.0145,-0.0357,0.1777,0.182
0.549057,0.0288,-0.0706,0.0848,0.114
0.568391,-0.0812,-0.0069,-0.0253,0.085
0.604357,-0.2702,0.1579,0.1089,0.331
0.629548,0.1346,0.0501,0.1015,0.176
0.630223,0.1346,0.0501,0.1015,0.176
0.649854,0.2207,-0.0168,-0.0401,0.225
0.670239,-0.0310,-0.0517,-0.0459,0.076
0.701844,-0.0695,-0.0464,-0.1501,0.172
0.711278,0.0119,0.0149,-0.1990,0.200
0.732095,0.1291,0.0555,-0.1499,0.205
0.752411,0.0333,-0.0670,0.0485,0.089
0.808820,0.0450,-0.0812,0.0143,0.094
0.809667,0.0450,-0.0812,0.0143,0.094
0.823740,0.0187,-0.0294,0.0519,0.062
0.839263,-0.0124,-0.0103,0.0257,0.030
0.855429,-0.0245,0.0158,-0.0800,0.085
0.898287,0.0348,-0.0056,-0.1406,0.145
0.899411,0.0348,-0.0056,-0.1406,0.145
0.918997,-0.0419,0.0670,-0.1295,0.152
0.937668,-0.1209,0.1314,-0.0508,0.186
0.958001,0.0180,0.0610,-0.0525,0.082
0.997962,0.0587,0.0440,0.0316,0.080
1.020109,-0.0107,-0.0067,0.0686,0.070
1.021398,-0.0107,-0.0067,0.0686,0.070
1.040567,-0.0274,-0.0310,0.0753,0.086
1.061025,-0.0249,-0.0127,0.0352,0.045
1.098185,0.0254,-0.0560,0.0163,0.064
1.117924,-0.0559,-0.0285,0.0782,0.100
1.124584,-0.0822,0.0019,0.0904,0.122
1.142945,-0.0175,0.0436,0.0073,0.048
1.162467,0.0662,0.0493,-0.0449,0.094
1.200695,0.0710,0.0033,-0.0374,0.080
1.223927,-0.1349,0.0135,0.0628,0.149
1.225140,-0.1349,0.0135,0.0628,0.149
1.244208,-0.0942,-0.0239,0.0909,0.133
1.265010,0.1116,-0.0735,-0.0318,0.137
1.294899,0.0540,-0.0030,-0.1205,0.132
1.310405,-0.0179,-0.0048,-0.0457,0.049
1.325590,-0.0178,-0.0508,0.1197,0.131
1.346220,0.0661,0.0337,0.2440,0.255
1.367392,-0.0656,0.0586,0.1979,0.217
1.399432,-0.1039,-0.0193,-0.0545,0.119
1.419461,0.1378,0.0703,-0.1738,0.233
1.438354,0.2334,0.0451,-0.1699,0.292
1.455566,-0.1115,0.1324,0.0767,0.189
1.499958,-0.0777,0.1373,-0.0519,0.166
1.501366,0.0827,0.1173,-0.1612,0.216
1.521061,0.1734,0.0931,-0.2040,0.283
1.537941,0.0871,0.0865,-0.1715,0.211
1.557285,-0.1549,0.0521,-0.0105,0.164
1.596861,0.0776,-0.1689,0.0019,0.186
1.620226,0.1781,-0.1658,-0.1297,0.276
1.621141,0.1781,-0.1658,-0.1297,0.276
1.639271,0.0247,-0.1217,-0.1112,0.167
1.659715,-0.2098,0.0144,0.0485,0.216
1.695300,0.1113,0.0125,-0.0343,0.117
1.715308,0.1807,0.0125,-0.0917,0.203
1.724605,0.1807,0.0125,-0.0917,0.203
1.741442,-0.1137,0.0278,0.0719,0.137
1.762413,-0.1518,-0.0362,0.1235,0.199
1.795939,0.1212,-0.0476,-0.1188,0.176
1.818278,0.1235,-0.0082,-0.1856,0.223
1.838064,0.0636,-0.0036,-0.1154,0.132
1.853876,-0.1014,-0.0611,0.0505,0.129
1.871296,-0.1635,-0.0815,0.1625,0.244
1.888011,0.0425,-0.0451,0.0188,0.065
1.914013,0.1885,0.0437,-0.1177,0.226
1.937492,0.0017,0.0654,-0.0435,0.079
1.953508,-0.0867,-0.0176,-0.0128,0.089
1.969667,0.0332,-0.0120,0.0406,0.054
2.012088,0.0620,0.1089,-0.0784,0.148
2.013969,0.0620,0.1089,-0.0784,0.148
2.036648,-0.0098,0.0734,0.0362,0.082
2.054043,-0.0982,-0.0141,0.0743,0.124
2.069321,-0.0166,-0.0674,-0.0451,0.083
2.105472,0.0982,-0.0927,-0.1175,0.179
2.118913,-0.0574,-0.0669,-0.0386,0.096
2.135343,-0.1028,-0.0728,0.0331,0.130
2.152904,-0.0666,-0.0891,0.0450,0.120
2.171670,0.0844,-0.0718,-0.0628,0.127
2.206230,0.0869,0.0184,-0.1039,0.137
2.218932,-0.0255,0.1025,-0.0061,0.106
2.236153,-0.0540,0.1661,0.0377,0.179
2.253167,-0.1496,0.2971,0.0732,0.341
2.274016,-0.1113,0.2981,-0.0900,0.331
2.305992,0.1877,-0.0474,-0.2677,0.330
2.318392,0.0967,-0.1609,-0.1326,0.230
2.334978,0.0178,-0.1507,-0.0221,0.153
2.355378,-0.0966,-0.0849,0.0811,0.152
2.376353,0.0523,-0.0230,0.0642,0.086
2.406736,0.1100,-0.0975,-0.0694,0.163
2.418113,0.0336,-0.1317,-0.0732,0.154
2.436913,-0.0542,-0.1453,0.0342,0.159
2.457790,0.0280,-0.1693,0.0396,0.176
2.479291,0.0859,-0.0705,-0.1181,0.162
2.506995,0.1033,-0.0206,-0.2252,0.249
2.527897,0.0439,-0.0214,-0.1264,0.135
2.539634,-0.0173,0.0257,0.0217,0.038
2.561334,-0.0326,0.0575,0.1390,0.154
2.593923,0.0364,0.0064,-0.1047,0.111
2.615945,0.1503,0.0182,-0.2837,0.322
2.623545,0.1503,0.0182,-0.2837,0.322
2.641616,0.1132,0.0807,-0.5194,0.538
2.662272,0.0767,-0.0767,-0.2518,0.274
2.692648,-0.1730,-0.3480,0.4438,0.590
2.706667,-0.0192,-0.2087,0.3811,0.435
2.724353,0.0067,0.0183,-0.0502,0.054
2.745083,0.0727,0.0665,-0.0902,0.134
2.766216,-0.0374,0.0840,0.1280,0.158
2.787232,-0.0673,0.0720,0.2613,0.279
2.810317,0.0229,0.1398,0.0670,0.157
2.832363,0.1417,0.2097,-0.1100,0.276
2.852248,0.1050,0.1494,-0.3556,0.400
2.868770,0.0355,0.1499,-0.2604,0.303
2.907663,0.0124,0.0940,0.0209,0.097
2.922597,0.2806,-0.0957,-0.1825,0.348
2.932924,0.3583,-0.1323,-0.2848,0.476
2.950735,0.4339,-0.1008,-0.3899,0.592
2.971015,0.2895,0.0302,-0.3432,0.450
3.010414,-0.3010,-0.5431,-0.0949,0.628
3.034624,0.0762,-0.6256,-0.0486,0.632
3.035318,0.0762,-0.6256,-0.0486,0.632
3.052830,0.4846,-0.4111,-0.3708,0.736
3.084081,0.1239,-0.5748,-0.1777,0.614
3.101747,-0.0727,-0.7332,0.0705,0.740
3.125882,-0.2132,-0.7753,0.1166,0.812
3.152038,0.2771,-0.3111,-0.1857,0.456
3.164067,0.3444,-0.2226,-0.2960,0.506
3.181252,0.5145,-0.2037,-0.4103,0.689
