time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004587,-0.0136,0.0719,-0.0366,0.082
0.016928,0.0224,0.0627,-0.0594,0.089
0.034223,0.0920,-0.0630,-0.0283,0.115
0.054047,0.0299,-0.0804,-0.0096,0.086
0.083904,-0.0848,-0.0059,0.0164,0.087
0.094403,-0.0607,-0.0121,0.0289,0.068
0.115392,0.0258,-0.0172,0.0327,0.045
0.135869,0.0331,0.0159,-0.0199,0.042
0.157902,-0.0098,0.0340,-0.0484,0.060
0.200291,0.0337,-0.0303,0.0693,0.083
0.201020,0.0314,-0.0703,0.0526,0.093
0.218255,0.0243,-0.0867,0.0170,0.092
0.238230,-0.0043,-0.0269,-0.0786,0.083
0.259121,-0.0259,0.0714,-0.1077,0.132
0.298691,-0.0781,-0.0511,0.1456,0.173
0.306414,-0.1401,-0.0810,0.1481,0.219
0.322615,-0.0751,-0.0558,0.0234,0.096
0.340635,0.0181,0.0250,-0.1399,0.143
0.361124,0.0874,0.0537,-0.1166,0.155
0.398905,0.0469,-0.0621,0.0878,0.117
0.406756,0.0685,-0.1097,0.1532,0.201
0.422541,0.0446,-0.0294,0.0460,0.071
0.456480,-0.0560,0.1137,0.0034,0.127
0.472252,0.0711,-0.0346,0.0411,0.089
0.490267,0.1263,-0.0680,0.0885,0.169
0.517906,0.0880,-0.0715,0.0365,0.119
0.524812,0.0377,-0.0986,0.0216,0.108
0.545320,-0.0702,-0.1103,0.0217,0.132
0.565702,-0.1494,-0.0167,-0.0237,0.152
0.592114,-0.1187,0.1175,-0.0441,0.173
0.606080,-0.0158,0.1006,-0.0560,0.116
0.626451,0.1085,0.0401,-0.0869,0.145
0.648102,0.0940,0.0387,-0.0508,0.114
0.667839,0.0197,0.0389,-0.0035,0.044
0.688117,-0.0307,0.0358,0.0597,0.076
0.708701,0.0458,0.0106,-0.0359,0.059
0.728475,0.0960,-0.0429,-0.0651,0.124
0.748920,0.0170,-0.0365,-0.0565,0.069
0.780075,-0.0667,0.0367,-0.0201,0.079
0.789973,-0.0523,0.0389,-0.0134,0.067
0.821513,0.0506,0.0342,-0.0407,0.073
0.838664,0.0387,0.0405,0.0072,0.056
0.855090,-0.0067,0.0321,0.0396,0.051
0.872472,-0.0760,-0.0088,0.1104,0.134
0.892816,-0.0399,-0.0364,0.0816,0.098
0.912882,0.0320,-0.0196,0.0105,0.039
0.933347,0.0702,-0.0025,-0.0540,0.089
0.953925,0.0390,0.0156,-0.0955,0.104
0.992439,-0.0470,0.0343,-0.0470,0.075
