time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.008546,0.1209,-0.0420,0.0598,0.141
0.009730,0.1209,-0.0420,0.0598,0.141
0.029759,0.0681,-0.1169,0.0527,0.145
0.045157,-0.0423,-0.2095,-0.0093,0.214
0.077173,0.0525,-0.0087,0.0924,0.107
0.093875,0.0186,0.1048,0.1151,0.157
0.119645,0.0256,0.0552,0.0803,0.101
0.127206,0.0507,0.0245,0.0528,0.077
0.147530,0.0751,0.0101,0.0288,0.081
0.168114,-0.0180,-0.0127,0.0311,0.038
0.204026,-0.0735,-0.0163,-0.0105,0.076
0.211320,-0.0629,-0.0585,0.0011,0.086
0.229468,-0.0019,-0.0383,0.0765,0.086
0.250215,0.0831,0.0270,0.0724,0.114
0.271810,-0.0229,0.0263,-0.0516,0.062
0.303178,-0.0599,0.0234,-0.0174,0.067
0.312045,-0.1100,0.0450,0.0607,0.133
0.335322,0.0676,-0.0080,0.1016,0.122
0.352877,0.0827,0.0313,0.0326,0.094
0.373882,0.0097,0.0109,0.2650,0.265
0.406306,-0.0367,0.1023,0.3168,0.335
0.414510,0.0493,0.0163,0.1418,0.151
0.434944,-0.0116,0.4424,-0.0899,0.452
0.459029,0.0902,0.1907,0.2276,0.310
0.475892,-0.3110,-0.0320,0.2372,0.392
0.519296,-0.3113,0.6464,0.6207,0.949
0.520155,-0.2905,0.5813,0.3388,0.733
0.537587,-0.0260,0.2699,-0.0064,0.271
0.557802,0.1784,0.2549,0.0290,0.312
0.579329,-0.0712,0.3508,-0.0077,0.358
0.617004,-0.1291,0.3740,0.3006,0.497
0.629495,0.0251,0.3137,0.2035,0.375
0.642062,0.1317,0.2466,-0.0505,0.284
0.659875,-0.1136,0.2918,-0.2356,0.392
0.680534,-0.1927,0.2938,-0.0467,0.354
0.716442,0.1906,0.2186,0.3442,0.450
0.730622,0.2710,0.3043,0.3672,0.549
0.742029,0.2684,0.5166,0.3239,0.666
0.762946,0.1609,0.4899,0.5040,0.721
0.800257,-0.4288,-0.7624,0.3574,0.945
0.814623,-0.6390,-1.1161,0.4076,1.349
0.825390,-0.7627,-1.4601,0.4035,1.696
0.846188,-0.8062,-1.7244,0.5881,1.992
0.866599,-0.2660,-0.8223,1.3948,1.641
0.898469,0.7360,0.6488,1.7816,2.034
0.908361,0.5336,0.5068,1.3986,1.580
0.927936,-0.0124,-0.3428,1.3559,1.399
0.948238,-0.5854,-1.0545,1.3343,1.799
0.970200,-0.6758,-1.0466,0.7394,1.449
0.994856,-0.5370,-0.2932,0.3096,0.686
1.009902,-0.7080,0.6207,-0.0803,0.945
1.030537,-0.4087,0.8266,-0.3289,0.979
1.051332,-0.3614,0.2438,0.2978,0.528
1.072699,-0.3320,-0.3898,0.8866,1.024
1.094023,-0.3170,-0.2449,1.0399,1.114
1.113237,-0.4179,0.1929,1.0890,1.182
1.133121,-0.3702,0.1604,0.8746,0.963
1.153616,-0.4347,-0.0036,0.7925,0.904
1.174274,-0.4177,-0.1634,1.0149,1.110
1.211857,0.0044,-0.9437,1.0473,1.410
1.223543,0.1201,-0.9250,1.0009,1.368
1.241382,0.1996,-0.4064,1.1681,1.253
1.257829,0.1571,-0.2208,1.4798,1.504
1.278398,0.2202,-0.3876,1.4133,1.482
1.312471,0.4234,-1.0003,1.5649,1.905
1.328645,0.4117,-1.2852,1.5134,2.028
1.339909,0.5537,-1.4065,1.4085,2.066
1.358216,1.2423,-1.1939,1.7256,2.439
1.379617,2.1550,-1.2074,1.9875,3.171
1.415300,1.2811,-1.8745,0.8212,2.414
1.435320,0.4190,-1.8752,-0.3012,1.945
1.441997,0.0351,-1.4294,-1.2366,1.890
1.461030,-0.3147,0.3675,-2.8144,2.856
1.481105,-0.9314,2.5523,-2.5862,3.751
1.512256,-0.6214,2.6153,-0.9513,2.851
1.530126,0.1822,0.6711,0.1297,0.707
1.542649,0.4551,-0.1973,0.2721,0.566
1.563378,0.5504,-1.2858,-0.1072,1.403
1.584480,-0.2882,-0.5422,-0.4042,0.735
1.615793,-0.6336,0.5717,-0.4766,0.978
1.637764,-0.4053,0.6106,-0.2182,0.765
1.656548,-0.3363,0.1768,-0.2094,0.434
1.673541,-0.4840,0.0100,-0.1517,0.507
1.695779,-0.9194,-0.0456,0.0129,0.921
1.714585,-1.3222,0.4383,-0.2655,1.418
1.730401,-1.1820,0.7126,-0.1660,1.390
1.749867,-0.8974,0.9405,0.0864,1.303
1.770242,-0.8353,0.5749,0.6480,1.203
1.808278,-0.8786,0.0192,1.0278,1.352
1.822034,-0.9250,0.5219,0.8769,1.377
1.838774,-0.8982,0.7803,0.9623,1.530
1.855965,-0.7538,0.6676,1.4418,1.759
1.872411,-0.9454,0.0027,1.7604,1.998
1.911534,-0.2909,-0.8968,1.2462,1.563
1.929714,0.2989,-0.2023,1.0797,1.138
1.938164,0.5024,0.2798,1.0631,1.209
1.954749,1.1560,0.4833,0.8351,1.506
1.973919,1.5788,0.5166,1.5102,2.245
2.008007,1.4231,0.1117,2.4331,2.821
2.021525,1.8946,-0.3024,2.3028,2.997
2.037947,4.2692,-0.7402,1.3651,4.543
2.056742,4.0013,1.4646,-1.0096,4.379
2.076588,1.2941,3.8884,-0.9398,4.205
2.112666,-1.0459,-0.4538,-0.7050,1.340
2.129794,-1.6575,-1.4348,-0.5260,2.254
2.137630,-1.8923,-2.1856,-0.6517,2.964
2.158832,-1.3472,-2.4212,-2.1917,3.533
2.178992,0.6452,-1.0626,-3.4490,3.666
2.208225,1.7383,1.3123,-2.5347,3.342
2.220706,1.1218,1.2271,-1.5600,2.280
2.240189,0.3130,0.5538,-0.0897,0.642
2.261425,-0.5345,0.2717,0.5612,0.821
2.281921,-0.9724,0.0257,0.5224,1.104
2.308140,-1.1702,-0.2479,-0.0972,1.200
2.322397,-1.2311,-0.4652,-0.5310,1.419
2.342798,-1.2142,-0.5825,-0.4412,1.417
2.363313,-1.4920,-0.5771,-0.3968,1.648
2.384349,-1.3392,-0.6081,-0.5390,1.566
2.409219,-0.9676,-0.4190,-0.7540,1.296
2.424680,-0.6481,-0.1915,-0.6683,0.950
2.445576,-0.6439,-0.1799,-0.2998,0.733
2.466944,-0.5889,-0.4553,0.0555,0.746
2.487928,-0.1445,-0.7884,0.2232,0.832
2.524385,-0.5427,-0.5795,1.2719,1.499
2.536684,-1.1412,-0.6924,1.5615,2.054
2.553230,-1.8338,-1.1139,1.5334,2.637
2.571207,-1.3987,-1.0446,1.7215,2.452
2.606961,1.1250,-0.9521,0.9152,1.735
2.619724,1.8710,-0.1017,0.6909,1.997
2.636182,1.5594,0.5887,1.0475,1.969
2.656803,0.6904,1.0947,1.3514,1.871
2.670252,0.5035,0.5836,1.0812,1.328
2.708755,1.6240,-0.2584,2.2558,2.792
2.719876,3.8983,-2.3563,0.1955,4.559
2.736697,4.2167,-2.6723,-2.0481,5.396
2.754252,1.9933,-0.2399,-2.8372,3.476
2.773720,0.0006,1.6078,-2.5942,3.052
2.809054,-0.4331,0.8531,-2.4868,2.665
2.826525,-0.2652,0.1409,-1.5715,1.600
2.836104,-0.2360,-0.6704,-0.7480,1.032
2.855399,0.2035,-1.8830,0.1014,1.897
2.876340,0.8734,-1.0597,0.1956,1.387
2.906641,0.4247,1.5517,-0.6337,1.729
2.918996,-0.5478,0.9278,-0.9573,1.441
2.937293,-1.2540,-0.8089,-1.0803,1.842
2.958109,-1.7753,-1.3895,-0.8322,2.403
2.978985,-1.6067,-0.5809,-0.3991,1.755
3.010420,-1.4251,0.6927,-0.4420,1.645
3.028562,-1.2390,0.8216,-0.8162,1.696
3.051807,-1.1968,0.5864,-0.2345,1.353
3.068442,-1.2377,0.2299,0.3019,1.295
3.086649,-1.1265,0.4509,0.6123,1.359
3.102213,-0.9389,0.8226,0.8414,1.505
3.122043,-0.7235,1.1959,1.2264,1.859
3.142645,-0.8442,0.7081,1.0396,1.515
3.163278,-1.2686,-0.2255,0.6368,1.437
3.184881,-1.7783,-1.1211,1.0080,2.331
3.220816,1.1233,-0.8618,0.3461,1.457
3.234980,1.9314,0.2179,0.0294,1.944
3.251335,2.3349,2.2586,-0.6971,3.323
3.268071,1.8566,2.5779,1.2285,3.406
3.285537,1.5617,-0.1870,3.9435,4.246
3.324001,3.6857,-2.8656,2.7290,5.408
3.335199,4.4388,-1.4729,1.4130,4.886
3.351289,3.1726,2.9619,-1.8747,4.728
3.368087,1.5216,3.5624,-2.8645,4.818
3.389065,-0.1635,-0.0079,-2.5659,2.571
3.420588,-0.0114,-3.6437,-0.9634,3.769
3.434683,0.1185,-1.9710,-2.6747,3.325
3.451000,0.1583,-0.1810,-2.5784,2.590
3.470541,0.6545,2.8238,-1.1243,3.109
3.491560,0.0364,2.0712,-1.2315,2.410
3.520456,0.1234,-1.1145,-0.8160,1.387
3.537728,-0.1509,-1.1085,-0.3317,1.167
3.552699,-0.4967,-0.8740,-0.3475,1.064
3.572958,-1.3266,-0.4564,-0.6157,1.532
