time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007682,0.3432,-0.2373,-0.1388,0.440
0.008422,0.3432,-0.2373,-0.1388,0.440
0.035753,-0.0804,-0.0868,-0.1265,0.173
0.050998,0.0730,-0.2821,-0.1561,0.331
0.068171,-0.0438,0.0172,0.0752,0.089
0.108068,-0.0342,0.1499,0.0648,0.167
0.117343,-0.0268,0.1326,0.1494,0.202
0.134095,-0.0097,-0.0352,0.0589,0.069
0.151530,0.0099,-0.1626,0.0033,0.163
0.170328,-0.0545,-0.1687,0.0422,0.182
0.212996,0.1507,0.0829,-0.1826,0.251
0.213828,0.1507,0.0829,-0.1826,0.251
0.231844,0.1639,0.1575,-0.0281,0.229
0.251991,0.0189,0.1962,0.0120,0.197
0.272607,-0.1719,0.1957,0.0157,0.261
0.308954,-0.0857,-0.0772,-0.0684,0.134
0.316590,0.1317,-0.0415,-0.0725,0.156
0.333524,0.2073,0.1608,-0.1074,0.283
0.353340,0.0987,0.0151,-0.1315,0.165
0.374177,-0.1172,-0.0645,-0.0484,0.142
0.413327,0.0369,-0.0982,-0.0077,0.105
0.417514,0.0369,-0.0982,-0.0077,0.105
0.436734,0.1769,-0.0021,0.0415,0.182
0.466158,-0.0738,0.1864,-0.0361,0.204
0.484445,-0.1421,0.1518,-0.0201,0.209
0.500080,0.0623,-0.0366,-0.0417,0.083
0.525874,0.2119,-0.1277,-0.0384,0.250
0.537185,0.1684,-0.1276,-0.0404,0.215
0.557545,-0.0408,-0.0645,-0.0383,0.085
0.577990,-0.0870,0.0851,0.0369,0.127
0.611366,0.0628,-0.0130,0.0399,0.076
0.619308,0.0628,-0.0130,0.0399,0.076
0.639588,-0.0001,-0.1258,0.1772,0.217
0.660032,0.0466,-0.0732,0.0527,0.102
0.680681,0.0172,-0.1044,-0.0063,0.106
0.724605,0.0054,-0.1235,-0.1195,0.172
0.725287,0.0054,-0.1235,-0.1195,0.172
0.743630,0.0626,-0.1776,-0.1131,0.220
0.762716,-0.2269,-0.3352,0.1568,0.434
0.783090,-0.6078,-0.6272,0.2006,0.896
0.827361,0.3929,-0.5181,-0.0087,0.650
0.828541,0.5235,-0.5076,-0.0386,0.730
0.848985,0.3644,-0.4571,-0.3758,0.695
0.865234,0.2539,-0.4293,-0.5128,0.715
0.886159,0.1193,-0.1596,-0.3531,0.405
0.916067,0.2100,0.4864,-0.7763,0.940
0.930803,-0.1396,1.1889,-0.9776,1.546
0.948704,-0.6297,1.4628,-1.0662,1.917
0.967185,-0.8527,1.3595,-0.9408,1.860
0.987277,-0.9865,0.8423,-0.4116,1.361
1.007576,0.2023,-0.2704,0.6660,0.747
1.027786,1.1058,-0.7206,0.6175,1.457
1.048376,0.5768,-0.5009,0.8444,1.139
1.069938,0.3058,-0.3828,1.3399,1.427
1.101291,0.7680,-0.2456,1.4604,1.668
1.117651,0.5962,-0.1340,1.2505,1.392
1.131142,0.4731,-0.1633,1.0822,1.192
1.151114,0.1259,-0.2391,1.0418,1.076
1.171566,0.0345,-0.1626,0.7740,0.792
1.202187,-0.3750,0.3563,0.3206,0.609
1.220840,-0.9437,0.7642,0.2152,1.233
1.232168,-0.9232,0.9489,0.0021,1.324
1.253260,-0.5671,1.0797,-0.2526,1.245
1.273860,-0.3095,0.8618,-0.1059,0.922
1.300904,-0.2725,0.3570,0.1820,0.485
1.321515,-0.2593,0.1907,0.1830,0.370
1.335414,-0.2932,0.1768,0.1323,0.367
1.355961,-0.2900,0.5296,0.4463,0.751
1.377175,-0.2163,0.1862,0.7260,0.780
1.407102,-0.7352,-0.4678,0.5538,1.032
1.429443,-0.9487,-0.4599,0.4783,1.158
1.447530,-0.9057,-0.3071,-0.0052,0.956
1.464159,-0.9459,-0.0300,-0.1446,0.957
1.480685,-1.1977,0.6806,0.0870,1.380
1.516733,-1.9239,-0.0283,0.6637,2.035
1.536558,-2.4125,-0.7357,0.4726,2.566
1.546819,-2.7753,-0.9776,0.3848,2.967
1.563468,-3.1722,-1.1757,0.0849,3.384
1.581167,-3.4180,-0.9586,-0.9047,3.663
1.618020,-1.1069,1.8996,1.3133,2.561
1.636503,-0.9736,0.8077,0.9477,1.581
1.646419,-1.5303,-0.1067,0.4409,1.596
1.663222,-2.5133,-0.7496,-0.6279,2.697
1.680914,-2.4258,-0.0248,-0.7306,2.534
1.721984,0.7297,2.9283,1.0237,3.187
1.723471,0.6954,2.4247,0.8827,2.672
1.746340,-0.4409,0.4457,1.1516,1.311
1.763012,0.0850,-0.6940,1.0196,1.236
1.783553,3.0678,-0.8161,-1.4224,3.479
1.817428,3.7358,-0.9107,-1.2103,4.031
1.830948,7.1666,-2.4662,-2.0107,7.841
1.846055,10.2638,-0.7881,-3.8519,10.991
1.865570,4.2365,3.4517,1.8575,5.772
1.886023,-0.4890,0.3679,5.7085,5.741
1.914416,-0.9015,-2.9359,1.8058,3.563
1.929053,-0.2510,-1.5563,0.4387,1.636
