time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001477,0.1639,-0.0692,-0.4747,0.507
0.005961,0.0952,-0.0454,-0.4602,0.472
0.014478,0.0578,0.0027,-0.5350,0.538
0.021801,0.0427,0.0683,-0.5649,0.571
0.030517,0.1796,0.1128,-0.6145,0.650
0.038425,0.3604,0.0895,-0.5189,0.638
0.046387,0.5321,0.0928,-0.2855,0.611
0.053944,0.5951,0.1515,0.0337,0.615
0.063782,0.5229,0.0583,0.3791,0.648
0.070215,0.4049,0.0186,0.5160,0.656
0.078947,0.3457,0.0413,0.4668,0.582
0.086221,0.3584,-0.0043,0.4682,0.590
0.094480,0.3857,-0.1392,0.5756,0.707
0.102490,0.3581,-0.2719,0.6717,0.808
0.110318,0.1838,-0.2423,0.6342,0.703
0.118440,0.0120,-0.1051,0.6117,0.621
0.131088,-0.4892,0.0811,0.5322,0.727
0.134563,-0.5072,-0.1794,0.7047,0.887
0.142465,0.3505,-0.3007,0.4558,0.649
0.150102,0.4431,-0.0958,0.8031,0.922
0.160028,0.0201,0.0597,0.9497,0.952
0.167090,-0.6734,0.2212,0.7290,1.017
0.175455,-0.4626,0.0453,0.5807,0.744
0.182299,-0.7226,-0.3410,0.2837,0.848
0.191103,-0.5806,-0.4532,0.5352,0.910
0.198460,-0.2773,-0.5108,0.1903,0.612
0.208122,0.2493,-0.3727,-0.2188,0.499
0.214521,0.2257,-0.2262,-0.1671,0.361
0.222408,-0.1553,-0.2080,-0.2645,0.371
0.230204,-0.4222,-0.2374,-0.3504,0.598
0.238244,-0.5724,-0.2701,-0.3482,0.722
0.246031,-0.6204,-0.2655,-0.3467,0.759
0.254593,-0.5543,-0.2278,-0.3121,0.676
0.263098,-0.4180,-0.1634,-0.1557,0.475
0.270669,-0.2608,-0.1298,-0.0320,0.293
0.278877,-0.0828,-0.0720,-0.0040,0.110
0.286586,0.0502,-0.0005,0.0050,0.050
0.294822,0.0590,0.0601,-0.1199,0.147
0.302792,0.0732,0.0840,-0.2614,0.284
0.311324,0.1624,-0.0181,-0.3193,0.359
0.318933,0.2266,-0.0339,-0.3318,0.403
0.326869,0.2557,-0.0922,-0.2965,0.402
0.334813,0.2440,-0.1164,-0.2040,0.339
0.342918,0.1755,-0.1690,-0.0661,0.252
0.350896,-0.1665,-0.1250,-0.0572,0.216
0.359988,-0.3444,-0.0157,0.0453,0.348
0.367144,-0.4419,0.1634,0.0165,0.471
0.375256,-0.4876,0.2676,-0.0289,0.557
0.383068,-0.3798,0.2407,-0.0577,0.453
0.391507,-0.1874,0.1096,0.1026,0.240
0.399262,-0.0469,-0.0370,0.3057,0.312
0.407919,-0.1874,0.0328,0.3248,0.376
0.415345,-0.3094,0.0914,0.3561,0.480
0.424992,-0.3742,0.1515,0.2491,0.474
0.431308,-0.4632,0.1729,0.0419,0.496
0.439348,-0.5360,0.1160,-0.1170,0.561
0.447356,-0.4437,0.0340,-0.1062,0.457
0.455123,-0.2633,-0.0523,-0.0096,0.269
0.463769,-0.1444,-0.1190,0.1128,0.218
0.471202,-0.1350,-0.1577,0.2733,0.343
0.479624,-0.1001,-0.1096,0.2972,0.332
0.487129,-0.0304,-0.0707,0.4216,0.429
0.495752,-0.0795,0.0480,0.4381,0.448
0.503365,0.0851,-0.0771,0.4187,0.434
0.511850,0.2391,-0.1783,0.5860,0.658
0.519734,0.2712,-0.1600,0.5163,0.605
0.527525,0.2941,-0.0564,0.4995,0.582
0.535597,0.2074,-0.0333,0.5571,0.595
0.543653,0.0942,-0.0049,0.4451,0.455
0.551715,0.0666,-0.0072,0.3405,0.347
0.562637,0.1155,-0.0151,0.3079,0.329
0.567971,0.1616,-0.0971,0.3136,0.366
0.582703,0.1551,-0.0856,0.3049,0.353
0.583434,0.1239,-0.0608,0.2078,0.250
0.591846,0.1654,-0.0578,0.0940,0.199
0.600419,0.1879,-0.1072,0.0568,0.224
0.608395,0.2060,-0.1090,-0.0497,0.238
0.616206,0.1892,-0.1052,-0.0918,0.235
0.625967,0.1167,-0.0471,-0.1936,0.231
0.632080,0.1266,0.0168,-0.2189,0.253
0.642785,0.1132,0.0414,-0.1751,0.213
0.648006,0.0650,0.0360,-0.1267,0.147
0.662559,-0.0322,0.0793,-0.0568,0.103
0.664510,-0.1512,0.1538,-0.0493,0.221
0.672214,-0.2259,0.2185,-0.0776,0.324
0.680334,-0.2182,0.1942,-0.0987,0.308
0.688528,-0.1526,0.1220,-0.1174,0.228
0.696896,-0.1091,-0.0072,-0.1098,0.155
0.705043,-0.0393,-0.0259,-0.1550,0.162
0.712402,0.0022,-0.0036,-0.2217,0.222
0.720620,0.0059,0.0191,-0.2503,0.251
0.728408,0.0504,0.0116,-0.2430,0.248
0.736516,0.0128,0.0054,-0.2504,0.251
0.744427,-0.0537,0.0100,-0.1814,0.189
0.752601,-0.0967,0.0635,-0.0934,0.149
0.763036,-0.0734,0.0555,0.0041,0.092
0.768787,-0.0174,-0.0023,0.0512,0.054
0.781670,0.0351,0.0015,0.0840,0.091
0.784167,0.0895,-0.0521,0.0785,0.130
0.792616,0.1599,-0.0432,0.0611,0.177
0.800562,0.1766,-0.0292,0.1058,0.208
0.810070,0.1734,-0.0337,0.1792,0.252
0.817414,0.1101,0.0190,0.2262,0.252
0.826282,0.0422,0.0524,0.3020,0.309
0.833439,-0.0066,0.0780,0.3420,0.351
0.842797,-0.0071,0.0644,0.3559,0.362
0.849570,0.0147,0.0526,0.4177,0.421
0.862712,0.0452,0.0232,0.4509,0.454
0.865328,0.0626,-0.0020,0.4436,0.448
0.883916,0.0456,-0.0137,0.4483,0.451
0.884520,0.0372,-0.0142,0.4651,0.467
0.891937,0.0202,-0.0082,0.4030,0.404
0.897430,-0.0228,-0.0299,0.3173,0.319
0.905448,-0.0301,0.0366,0.1885,0.194
0.912991,-0.0524,0.0483,0.0955,0.119
0.921290,-0.0444,0.0249,0.0623,0.080
0.929019,-0.1210,0.0461,0.0384,0.135
0.937498,-0.2772,0.0783,0.0790,0.299
0.945307,-0.4481,0.1430,0.1839,0.505
0.953365,-0.5160,0.1942,0.2719,0.615
0.962767,-0.4972,0.1880,0.3575,0.641
0.969428,-0.3298,0.1261,0.4528,0.574
0.979257,-0.0599,0.0037,0.5362,0.540
0.985514,0.1947,-0.0419,0.5865,0.619
0.993147,0.3954,-0.0731,0.5558,0.686
1.001680,0.5268,-0.0580,0.4444,0.692
1.009560,0.6318,0.0023,0.2520,0.680
1.017641,0.7014,0.0600,0.0957,0.710
1.025625,0.8006,0.0390,0.0302,0.802
1.033689,0.7757,0.0148,0.0268,0.776
1.042368,0.6889,0.0300,0.0758,0.694
1.049506,0.5590,0.0365,0.1176,0.572
1.060936,0.4019,0.0723,0.1951,0.453
1.065650,0.2417,0.0820,0.2678,0.370
1.080191,0.0981,0.1277,0.2974,0.338
1.081989,0.0214,0.1155,0.3319,0.352
1.091243,-0.0053,0.0161,0.3857,0.386
1.098061,-0.0526,-0.0199,0.3056,0.311
1.106951,-0.0513,-0.0263,0.1803,0.189
1.113959,-0.0378,-0.0575,0.0480,0.084
1.122223,-0.0525,-0.0989,-0.0578,0.126
1.129944,-0.0096,-0.1314,-0.1185,0.177
1.138314,-0.0264,-0.1503,-0.1459,0.211
1.150813,-0.0734,-0.1223,-0.1114,0.181
1.154037,-0.1245,-0.0720,-0.0746,0.162
1.162171,-0.1349,-0.0473,-0.0859,0.167
1.169804,-0.1510,-0.0552,-0.0709,0.176
1.178027,-0.1371,-0.0649,-0.1159,0.191
1.186006,-0.1151,-0.0695,-0.1035,0.170
1.193951,-0.0101,-0.0304,-0.1128,0.117
1.201759,0.0648,0.0214,-0.1317,0.148
1.209800,0.0362,0.1045,-0.1579,0.193
1.218090,-0.0192,0.1113,-0.1553,0.192
1.226015,-0.1281,0.1305,-0.1505,0.237
1.233885,-0.2658,0.1833,0.0148,0.323
1.243213,-0.3480,0.2003,0.2447,0.470
1.250265,-0.3747,0.1806,0.3933,0.573
1.259930,-0.2887,0.0794,0.4803,0.566
1.266231,-0.1544,0.0402,0.4768,0.503
1.275389,-0.0710,-0.0099,0.4573,0.463
1.282277,0.0670,-0.0435,0.3594,0.368
1.292636,0.0707,-0.0033,0.1164,0.136
1.298457,0.0138,0.0820,-0.3079,0.319
1.307202,-0.0307,0.1825,-0.5715,0.601
1.314742,-0.0270,0.2404,-0.6776,0.719
1.323004,0.0187,0.2896,-0.7245,0.780
1.330822,-0.0050,0.3072,-0.6072,0.680
1.339432,-0.0539,0.2813,-0.3849,0.480
1.347264,-0.0313,0.2379,-0.2469,0.344
1.355019,0.0641,0.1541,-0.2239,0.279
1.362947,1.0107,0.1130,-0.2031,1.037
1.370780,0.4580,0.1814,-0.3976,0.633
1.378494,-0.4120,0.0457,-0.5636,0.700
1.386308,-0.2867,0.0750,-0.7566,0.813
1.395925,0.5310,0.2264,-0.8275,1.009
1.402428,0.4941,0.2036,-0.7643,0.933
1.410480,0.2838,0.1206,-0.6035,0.678
1.418756,0.2867,0.1093,-0.4455,0.541
1.426539,0.3410,0.1658,-0.3115,0.491
1.435399,0.3591,0.1992,-0.1317,0.431
1.442992,0.2388,0.1058,-0.1574,0.305
1.451071,0.3168,0.0384,-0.3548,0.477
1.458836,0.2634,0.0482,-0.5471,0.609
1.467021,0.0880,0.0509,-0.8423,0.848
1.477879,0.0336,-0.0421,-1.0567,1.058
1.482960,0.0673,-0.1239,-0.9416,0.952
1.494368,0.1630,-0.1521,-0.7081,0.742
1.498951,0.2246,-0.1627,-0.4512,0.530
1.507013,0.3527,-0.1202,-0.1901,0.418
1.514848,0.4923,0.0180,0.0232,0.493
1.525301,0.6710,0.1695,0.1894,0.717
1.531759,0.6182,0.3579,0.1246,0.725
1.542085,0.3286,0.5027,-0.0948,0.608
1.547642,-0.0204,0.5656,-0.3372,0.659
1.555895,-0.2309,0.4861,-0.5890,0.798
1.563898,-0.3112,0.3636,-0.6330,0.794
1.571476,-0.2607,0.2599,-0.5368,0.651
1.579345,-0.1861,0.2744,-0.3239,0.464
1.587664,-0.1251,0.2290,0.0268,0.262
1.600042,-0.0961,0.1516,0.3173,0.365
1.603232,-0.0701,0.1218,0.5264,0.545
1.611520,-0.0704,0.0684,0.6521,0.659
1.619588,-0.1519,0.0349,0.6159,0.635
1.627457,-0.1309,0.0243,0.5566,0.572
1.635652,-0.0520,-0.0128,0.4722,0.475
1.643633,-0.1028,0.0362,0.3237,0.342
1.651713,-0.1434,0.0430,0.0230,0.151
1.659760,-0.1228,-0.0501,-0.1525,0.202
1.667471,-0.1604,-0.1275,-0.3702,0.423
1.678026,-0.2190,-0.1984,-0.5903,0.660
1.683674,-0.2540,-0.2345,-0.7551,0.830
1.696495,-0.3561,-0.2339,-0.8578,0.958
1.699550,-0.4646,-0.2174,-0.8962,1.033
1.708041,-0.5721,-0.1888,-0.8627,1.052
1.715799,-0.5851,-0.1395,-0.8177,1.015
1.725974,-0.5408,-0.1070,-0.7798,0.955
1.731793,-0.2904,-0.1298,-0.7819,0.844
1.741673,-0.1595,-0.1163,-0.9773,0.997
1.747976,-0.2264,-0.1033,-1.2221,1.247
1.758709,-0.2920,-0.1362,-1.4189,1.455
1.764303,-0.3771,-0.2029,-1.4526,1.514
1.772100,-0.4889,-0.3102,-1.3072,1.430
1.780370,-0.6808,-0.4358,-1.0955,1.361
1.788313,-0.9087,-0.6040,-0.8909,1.409
1.799295,-1.1355,-0.7380,-0.6696,1.511
1.804148,-1.3091,-0.7814,-0.5272,1.613
1.811987,-1.3490,-0.7272,-0.3847,1.580
1.819876,-1.3019,-0.6664,-0.2977,1.493
1.828200,-1.2206,-0.5661,-0.1656,1.356
1.836488,-0.9616,-0.4564,-0.0311,1.065
1.844677,-0.6521,-0.3263,0.0359,0.730
1.852370,-0.3237,-0.3341,0.1632,0.493
1.860374,-0.0864,-0.4161,0.1546,0.452
1.868177,-0.1126,-0.5032,-0.1613,0.540
1.877049,-0.2776,-0.5933,-0.6217,0.903
1.884732,-0.3208,-0.7071,-1.0956,1.343
1.896261,-0.3564,-0.8604,-1.4003,1.682
1.900254,-0.3357,-0.9860,-1.5039,1.829
1.908288,-0.1874,-1.0711,-1.2946,1.691
1.916592,0.0548,-1.1190,-0.8155,1.386
1.925340,0.2454,-1.0659,-0.3879,1.161
1.932916,0.4279,-0.8769,0.1287,0.984
1.942120,0.5171,-0.6891,0.5293,1.011
1.948907,0.4698,-0.5271,0.7668,1.042
1.958792,0.3567,-0.4007,0.8133,0.974
1.964978,0.1713,-0.3528,0.7891,0.881
1.977366,0.0043,-0.3535,0.6938,0.779
1.980916,-0.0729,-0.3669,0.5899,0.699
1.996444,-0.0476,-0.4419,0.5273,0.690
1.997083,-0.0201,-0.5090,0.4891,0.706
2.004985,0.0660,-0.5796,0.4290,0.724
2.013188,0.2024,-0.6959,0.2996,0.784
2.020745,0.2927,-0.8055,0.2680,0.898
2.028956,0.3362,-0.8375,0.3622,0.972
2.036904,0.2875,-0.7352,0.5825,0.981
2.045337,0.2651,-0.6184,0.8626,1.094
2.053483,0.1933,-0.4908,1.0862,1.208
2.061345,0.0525,-0.3301,1.1938,1.240
2.069057,-0.0977,-0.1929,1.1218,1.142
2.078410,-0.0423,-0.1970,1.0201,1.040
2.085603,0.0614,-0.2962,0.8477,0.900
2.098990,0.1007,-0.4027,0.7221,0.833
2.101162,0.1605,-0.4743,0.6854,0.849
2.108832,0.1250,-0.4860,0.5514,0.746
2.117911,-0.0118,-0.4330,0.2817,0.517
2.125686,-0.1614,-0.4101,0.0156,0.441
2.134105,-0.1933,-0.4488,-0.2004,0.528
2.142049,-0.1986,-0.4962,-0.4499,0.699
2.149347,-0.1220,-0.4849,-0.6764,0.841
2.158439,0.0057,-0.4342,-0.7602,0.875
2.167236,0.1440,-0.3304,-0.6796,0.769
2.177813,0.1463,-0.2467,-0.4445,0.529
2.181024,0.0290,-0.1950,-0.1057,0.224
2.193977,-0.0543,-0.2019,0.2201,0.304
2.197358,-0.1137,-0.1685,0.3946,0.444
2.207225,-0.1443,-0.0689,0.3705,0.404
2.213774,-0.1497,-0.0503,0.3686,0.401
2.221091,-0.1210,-0.0294,0.2739,0.301
2.230161,-0.0309,0.0132,0.1081,0.113
2.237119,0.0793,-0.0433,0.0241,0.094
2.245884,0.1561,-0.0892,-0.0146,0.180
2.253516,0.2350,-0.0799,0.0364,0.251
2.261718,0.2504,-0.0451,0.0511,0.260
2.269500,0.3112,0.0286,0.1799,0.361
2.277763,0.3849,0.0086,0.3105,0.495
2.286309,0.4162,-0.0426,0.4428,0.609
2.296213,0.4157,-0.0006,0.5865,0.719
2.301791,0.4047,0.0055,0.7229,0.828
2.309840,0.3740,0.0366,0.8255,0.907
2.318081,0.3748,-0.0165,0.8947,0.970
2.326562,0.3350,-0.0940,0.9281,0.991
2.334271,0.2091,-0.0675,0.8471,0.875
2.341877,0.1349,0.0429,0.7379,0.751
2.350418,0.1942,0.1309,0.6865,0.725
2.358498,0.3244,0.1922,0.6233,0.729
2.366549,0.4103,0.2559,0.5937,0.766
2.377815,0.4549,0.3212,0.5715,0.798
2.382703,0.4237,0.3546,0.5065,0.750
2.399912,0.4052,0.3424,0.4342,0.686
2.400528,0.3351,0.3312,0.4741,0.668
2.407390,0.2364,0.3249,0.6120,0.732
2.414293,0.1310,0.1659,0.7537,0.783
2.424552,0.1088,0.2491,0.9935,1.030
2.430445,-0.1714,0.3641,1.1827,1.249
2.441814,-0.2111,0.3680,1.3458,1.411
2.446741,-0.2378,0.3192,1.4043,1.460
2.454325,-0.2800,0.3273,1.3517,1.419
2.462532,-0.2712,0.3527,1.1758,1.257
2.470753,-0.1682,0.4094,0.9678,1.064
2.478621,-0.0315,0.4137,0.7605,0.866
2.487006,0.0973,0.3426,0.6159,0.711
2.499859,0.1819,0.2735,0.5291,0.623
2.502472,0.2483,0.1831,0.4711,0.563
2.510241,0.2125,0.1377,0.3631,0.443
2.518986,0.2387,0.0664,0.3197,0.404
2.527176,0.2734,-0.0190,0.1807,0.328
2.535025,0.2016,0.0140,0.1182,0.234
2.542953,0.1512,0.0890,0.0700,0.189
2.550916,0.1284,0.1553,0.0935,0.222
2.558726,0.1482,0.1375,0.1788,0.270
2.567122,0.1721,0.1471,0.2372,0.328
2.577764,0.1835,0.1343,0.3503,0.418
2.583193,0.1726,0.1175,0.4723,0.516
2.600728,0.1539,0.0605,0.5533,0.577
2.601583,0.1244,0.0419,0.6170,0.631
2.609561,0.0949,0.0374,0.6613,0.669
2.614351,0.0856,0.0308,0.7386,0.744
2.625051,0.0461,-0.0049,0.7847,0.786
2.631717,-0.0128,-0.0193,0.8257,0.826
2.639031,-0.1043,0.0164,0.9073,0.913
2.647900,-0.1900,0.0252,1.0536,1.071
2.658388,-0.1799,0.0404,1.2047,1.219
2.663291,-0.1196,0.0345,1.2080,1.214
2.671908,-0.0945,-0.0275,1.1139,1.118
2.679279,-0.1030,-0.0897,0.9366,0.947
2.687151,-0.1651,-0.1354,0.7721,0.801
2.699175,-0.1902,-0.1759,0.6363,0.687
2.702617,-0.1502,-0.2296,0.6513,0.707
2.710391,-0.0754,-0.2788,0.7304,0.785
2.718328,-0.0804,-0.2687,0.8882,0.931
2.727491,-0.1126,-0.3033,1.0745,1.122
2.735189,-0.1739,-0.3149,1.0936,1.151
2.743018,-0.2398,-0.2691,1.0654,1.125
2.751567,-0.2391,-0.2328,0.9948,1.049
2.759225,-0.1689,-0.2347,0.8649,0.912
2.767717,-0.0415,-0.2371,0.7663,0.803
2.776938,0.0169,-0.2528,0.7183,0.762
2.783212,0.0384,-0.2587,0.6846,0.733
2.798863,0.0375,-0.2540,0.7011,0.747
2.799535,0.0432,-0.2708,0.7080,0.759
2.807660,0.0726,-0.2527,0.6960,0.744
2.815674,0.0558,-0.1856,0.6389,0.668
2.824392,0.0120,-0.1071,0.5054,0.517
2.832103,-0.0180,-0.0435,0.3457,0.349
2.841113,0.0305,-0.0388,0.1811,0.188
2.848424,0.1433,-0.0489,0.0830,0.173
2.858231,0.2367,-0.0826,-0.0200,0.252
2.864050,0.3247,-0.1347,-0.0423,0.354
2.877436,0.3745,-0.1407,-0.0415,0.402
2.879595,0.3546,-0.1681,0.0520,0.396
2.888237,0.2937,-0.1657,0.1685,0.377
2.899692,0.1955,-0.1432,0.3375,0.416
2.904042,0.1185,-0.1154,0.3842,0.418
2.912798,0.0332,-0.0619,0.3808,0.387
2.920034,0.0103,-0.0717,0.3106,0.319
2.927944,0.0801,-0.1072,0.2595,0.292
2.936517,0.1778,-0.2367,0.3467,0.456
2.943979,0.2721,-0.3893,0.4883,0.681
2.951837,0.3507,-0.5846,0.6698,0.956
2.959992,0.3900,-0.5589,0.6908,0.970
2.967676,0.3658,-0.3304,0.6617,0.825
2.975902,0.3408,0.0543,0.5087,0.615
2.983962,0.4191,0.3373,0.3323,0.632
2.993091,0.6154,0.4115,0.0987,0.747
2.999716,0.7817,0.2539,0.0565,0.824
3.007932,0.8312,0.1182,0.2126,0.866
3.016076,0.7833,0.0837,0.6933,1.049
3.024179,0.4935,0.1135,1.2167,1.318
3.032235,0.2144,0.1275,1.6923,1.711
3.040834,0.0873,0.1944,1.9771,1.989
3.048586,-0.0519,0.3257,2.1172,2.143
3.057463,-0.2270,0.4155,2.0793,2.132
3.064395,-0.4629,0.4886,1.7436,1.869
3.077905,-0.6777,0.5214,1.2594,1.522
3.085120,-0.8239,0.4585,0.8480,1.268
3.102448,-0.9823,0.2989,0.4370,1.116
3.103325,-1.1763,0.2264,0.1339,1.205
3.110030,-1.2244,0.1159,-0.1035,1.234
3.111984,-1.1154,0.0481,-0.2005,1.134
3.120169,-0.9713,0.0874,-0.1678,0.990
3.128946,-0.7492,0.1689,-0.1029,0.775
3.136632,-0.6135,0.2970,-0.0725,0.685
3.144835,-0.4214,0.3132,0.0122,0.525
3.152486,-0.2730,0.2905,0.0916,0.409
3.160544,-0.1824,0.3170,0.2092,0.421
3.168795,-0.1951,0.3998,0.2935,0.533
3.177858,-0.2933,0.4909,0.2399,0.620
3.185148,-0.4283,0.5328,0.0795,0.688
3.200036,-0.5014,0.5226,-0.0606,0.727
3.200541,-0.6476,0.4771,-0.1977,0.828
3.208754,-0.7344,0.4554,-0.2682,0.905
3.216329,-0.7064,0.4259,-0.3001,0.878
3.224640,-0.5649,0.3266,-0.3343,0.733
3.232173,-0.3412,0.2491,-0.3684,0.560
3.240549,-0.0950,0.2490,-0.4600,0.532
3.248783,0.1054,0.3071,-0.4344,0.542
3.256974,0.3991,0.2763,-0.4498,0.662
3.264858,0.3931,0.2982,-0.5831,0.764
3.276175,0.2399,0.3470,-0.8049,0.909
3.280980,0.1433,0.3067,-0.8642,0.928
3.296504,-0.0407,0.1917,-0.8546,0.877
3.297019,-0.3889,0.1500,-0.6489,0.771
3.306165,-0.7433,0.0580,-0.4449,0.868
3.313429,-0.6908,-0.2013,-0.7052,1.007
3.323662,-0.6770,-0.4402,-0.7307,1.089
3.329925,-0.5513,-0.6093,-0.6822,1.068
3.337355,-0.5245,-0.6575,-0.7418,1.121
3.345762,-0.6472,-0.4460,-1.0501,1.312
3.353432,-0.7456,-0.2137,-1.3059,1.519
3.361308,-0.6311,-0.1247,-1.2067,1.367
3.370339,-0.6727,-0.0398,-1.0230,1.225
3.377476,-0.7815,0.1061,-0.8199,1.138
3.385125,-0.8326,0.2421,-0.5006,1.001
3.398697,-0.8469,0.3265,0.0152,0.908
3.401543,-0.8232,0.2184,0.5923,1.037
3.409414,-0.7467,0.0960,1.0009,1.252
3.417320,-0.5177,-0.0859,1.3169,1.418
3.425319,-0.2683,-0.1621,1.4117,1.446
3.433342,-0.0135,-0.1282,1.3694,1.375
3.441672,0.1434,-0.0296,1.1109,1.121
3.449504,0.2551,0.0420,0.8399,0.879
3.460348,0.4337,0.0514,0.5461,0.699
3.465534,0.5644,0.0091,0.2962,0.637
3.480647,0.6522,0.0417,0.0731,0.658
3.481567,0.6309,0.1478,-0.0805,0.653
3.489435,0.4959,0.2925,-0.1984,0.609
3.497874,0.3053,0.4116,-0.1586,0.536
3.506817,0.1848,0.4530,-0.1457,0.510
3.513697,0.1383,0.5314,-0.1332,0.565
3.523976,0.0873,0.5906,-0.0807,0.602
3.530186,0.0059,0.5392,-0.0623,0.543
3.540974,0.0086,0.4896,-0.0493,0.492
3.546377,0.0030,0.4314,-0.0102,0.431
